city	state	permalink	created_at	lat	long	adoption_case
San Francisco	CA	genqvat-cbfg-zbqrea	9/3/14 22:51	37.781883	-122.411323	1
Olympia	Washington	abezn-f-ohetref-uhg	9/4/14 16:23	47.053501	-122.785511	1
Olympia	Washington	abezn-f-ohetref-v5	9/4/14 16:24	47.066556	-122.720939	1
Chicago	IL	gnireavgn-750	9/4/14 19:52	41.94562	-87.649004	1
Valentine	NE	arba-one-tevyy	9/4/14 20:44	42.868452	-100.558393	1
Sterling	VA	pureel-oybffbz-erfgnhenag	9/4/14 21:47	39.033088	-77.404796	1
Alameda	CA	uvtu-fgerrg-fgngvba-pnsr	9/5/14 18:09	37.756493	-122.234171	1
Chicago	IL	ubevmba-pnsr	9/5/14 18:09	41.951285	-87.649598	1
Peoria	AZ	wbrl-tvan-f	9/8/14 20:04	33.630093	-112.238292	1
Chicago	IL	juvgr-bnx-gnirea-vaa	9/8/14 21:19	41.921861	-87.658496	1
Miami Beach	FL	gnfgl-pnsr	9/8/14 22:19	25.813458	-80.129175	1
Kent	WA	chawno-fjrrgf	9/8/14 23:43	47.389992	-122.203119	1
Holland	Michigan	znpngnjn-nyr-pb	9/9/14 16:27	42.793667	-86.109442	1
Portland	ME	gur-oenzunyy	9/9/14 18:38	43.653634	-70.271601	1
tucson	Arizona	obpn-gnpbf-l-grdhvyn	9/10/14 17:54	32.235718	-110.958631	1
Seattle	WA	aryy-f-erfgnhenag	9/10/14 20:59	47.70857	-122.320843	1
Bristol	RI	puevfgvna-f-jbbq-sverq-tevyy	9/11/14 0:17	41.672252	-71.278411	1
Brockton	MA	ghggb-orar	9/11/14 18:55	42.052524	-71.066312	1
Los Angeles	CA	zrybql-ybhatr-yn	9/11/14 19:58	34.065617	-118.23833	1
Miami Beach	Florida	ubgry-puryfrn-fbhgu-ornpu	9/12/14 17:43	25.780292	-80.133283	1
Chicago	IL	gur-qevsgre	9/12/14 19:28	41.894624	-87.63742	1
Denver	CO	qraire-orre-pbzcnal	9/12/14 21:02	39.777048	-105.000748	1
Los Angeles	CA	nagvthn-phygheny-pbssrr-ubhfr	9/15/14 18:10	34.087367	-118.217482	1
Miami beach	Fl	oynpx-bepuvq	9/15/14 18:45	25.795289	-80.128764	1
Corning	NY	unaq-sbbg	9/15/14 20:43	42.144029	-77.057464	1
Ames	Iowa	one-yn-gbfpn	9/15/14 21:31	42.024837	-93.615541	1
Alexandria 	VA	unhgr-qbtf-byq-gbja-yyp	9/16/14 18:10	38.813851	-77.044462	1
Hollywood 	CA	101-pbssrr-fubc	9/16/14 18:58	34.105399	-118.323868	1
New York	NY	yvggyr-fny-f	9/16/14 21:15	40.736794	-73.992036	1
Los Angeles	CA	fvzcyrguvatf-fnaqjvpu-naq-cvr-fubc	9/16/14 22:49	34.060622	-118.444593	1
Tucson	AZ	ivin-f-one-tevyy	9/16/14 23:14	32.250564	-110.942779	1
Carmel	IN	cvmmbybtl-pnezry-va	9/17/14 16:07	39.979892	-86.07221	1
Franklin	GA	ybpbzrk-ba-gur-evire	9/17/14 20:19	33.279609	-85.09932	1
Harrisonburg	VA	oynpx-sberfg-erfgnhenag	9/17/14 21:06	38.446294	-78.853584	1
Seattle	WA	gur-qbahg-ubyr-zrtna-f-grfg-nppbhag	9/17/14 21:09	47.581612	-122.518363	1
Memphis	TN	vzntvar-irtna-pnsr	9/17/14 21:14	35.11932	-89.985668	1
Reisterstown	MD	wnin-znzznf	9/18/14 15:48	39.461412	-76.828126	1
Las Vegas	Nevada	xnvyla-f-qvare	9/18/14 17:51	36.100649	-115.099351	1
Sandwich	IL	gvzore-perrx-pbairagvba-pragre	9/18/14 19:53	41.651571	-88.573463	1
San Antonio	TX	penir-sbbq-gehpx	9/18/14 19:58	29.422907	-98.493067	1
Oakland	CA	qvivat-qbt-oerjubhfr	9/18/14 23:22	37.807694	-122.269962	1
Brockton	MA	ww-f-pnsr	9/19/14 15:20	42.098532	-71.020318	1
Lee	MA	purm-abhf	9/19/14 17:08	42.307785	-73.250382	1
Chicago	IL	gurngre-jvg-one	9/19/14 17:57	41.939573	-87.660246	1
Lakeland	FL	pyrirynaq-urvtugf-tbys-pbhefr	9/19/14 18:13	28.01016	-81.945654	1
Oak Bluffs	MA	fxvaal-f-sng-fnaqjvpurf	9/19/14 18:38	41.456783	-70.557816	1
Long Beach	CA	penml-perbyr-pnsr-sbbq-gehpx	9/19/14 20:35	33.777917	-118.189104	1
Redondo Beach	CA 	gxc-cebivfvbaf	9/19/14 21:36	33.822229	-118.385104	1
Geneva	IL	snivb-f-cvmmrevn	9/20/14 19:41	41.886296	-88.277726	1
Colbert	WA	znpf	9/22/14 19:55	47.863961	-117.387585	1
Detroit	MI	fryqra-fgnaqneq	9/23/14 17:48	42.347788	-83.064994	1
Baltimore	MD	pynex-ohetre	9/23/14 23:21	39.363605	-76.609974	1
Alpharetta	GA	bevtvany-cnapnxr-ubhfr	9/24/14 15:35	34.08913	-84.265053	1
Brooklyn	NY	yvggyr-zb-f	9/24/14 18:19	40.696983	-73.933663	1
Miami Beach	FL	cndhvgbf-yhapu	9/25/14 14:48	25.776412	-80.133715	1
Petaluma	CA	sbhepurggr	9/25/14 15:22	38.277995	-122.672748	1
Ridgefield	CT	hcfgnvef-pnsr	9/25/14 18:58	41.283737	-73.497336	1
Nashville	TN	fzbxva-guvtuf	9/26/14 16:01	36.133135	-86.769923	1
Miami Beach	Florida	gur-furyyl-ubgry	9/27/14 1:22	25.779009	-80.132344	1
Los Angeles	CA	gur-guerr-pyhof	9/27/14 2:23	34.091595	-118.327009	1
Olympia	WA	heona-bavba	9/29/14 16:57	47.04353	-122.900591	1
Louisville	KY	uvyyovyyl-grn-onkgre-nir	9/29/14 21:44	38.240042	-85.724924	1
West Palm Beach	FL	gebcvpf-pbaprffvbaf	9/30/14 0:45	26.66581	-80.068963	1
Old Greenwich	CT	yr-sng-cbbqyr	10/1/14 0:11	41.032136	-73.567196	1
Madison	WI	gur-fcbegf-cho	10/1/14 19:51	43.124427	-89.324419	1
Petaluma 	CA 	yiq-jvar-one	10/1/14 22:28	38.233138	-122.636851	1
Loveland	CO	ynherngr-choyvpx-ubhfr	10/2/14 19:56	40.397004	-105.07317	1
Inglewood	CA	guerr-jrniref	10/2/14 20:06	33.960821	-118.374614	1
Columbus	OH	ynaq-tenag-oerjvat-pbzcnal	10/2/14 22:36	39.957856	-83.011517	1
Northampton	MA	pbaivab-jvar-onne	10/3/14 15:33	42.318292	-72.629991	1
New York	NY	bvwv	10/7/14 18:31	40.727263	-73.985845	1
Miami	FL	nqevraar-nefug-pragre	10/7/14 19:40	25.787684	-80.188633	1
Stockton	CA	fgevatf-pnsr-2aq	10/7/14 21:08	38.053467	-121.374315	1
Newport	Kentucky	lbex-fgerrg-pnsr	10/7/14 21:18	39.088598	-84.493212	1
Geneva	IL	cerfreingvba-oernq-jvar	10/7/14 21:35	41.882168	-88.308943	1
San Francisco	CA	svber	10/8/14 16:44	37.751871	-122.422663	1
Glendale	CA 	fuvenm-erfgnhenag	10/8/14 17:00	34.144157	-118.248834	1
Santa Monica	California	sbezn-fnagn-zbavpn	10/8/14 20:19	34.033922	-118.492826	1
Livermore	CA	urevgntr-rfgngrf	10/8/14 21:05	37.678838	-121.785043	1
New York	NY	rssl-f-pnsr-ng-92aq-fg	10/8/14 23:04	40.783062	-73.95268	1
Media	PA	funer-r-chawno	10/9/14 17:28	39.918141	-75.392523	1
Mountain View	CA	furyy-fubpx-erfgnhenag	10/10/14 22:03	37.394768	-122.078675	1
Cary	NC	yn-fuvfu	10/13/14 15:24	35.80023	-78.768416	1
Oak Creek	WI	gur-pryyne-cho-tevyy	10/13/14 18:39	42.857989	-87.926633	1
KILLINGTON	VERMONT	wnk-sbbq-naq-tnzrf	10/13/14 21:51	43.64937	-72.788063	1
Hollywood	FL	frabe-pnsr	10/14/14 15:03	25.998151	-80.143347	1
New York	NY	jvyq-rqvoyrf-tenaq-prageny	10/15/14 18:44	40.752496	-73.977302	1
New York	NY	jvyq-rqvoyrf-blfgre-one	10/15/14 18:45	40.746573	-73.977031	1
PORT TOWNSEND	WA	sbhagnva-pnsr	10/15/14 18:59	48.115081	-122.75779	1
New York	NY	fghqvb-pnssr	10/15/14 22:22	40.745752	-74.008595	1
Hawaiian Gardens	CA	cub-znl	10/15/14 22:43	33.831185	-118.072992	1
Omaha	Nebraska	yvggyr-rfcnan	10/16/14 0:40	41.232797	-96.085076	1
Chicago	Il	gnpb-puvab	10/16/14 17:04	41.967031	-87.713804	1
Flora	MS	oyhr-ebbfgre	10/17/14 16:31	32.542923	-90.310403	1
Ferndale	MI	gur-rzbel	10/17/14 19:17	42.459886	-83.133508	1
Suisun	CA	vebajbbq-nzrevpna-ovfgeb	10/20/14 17:45	38.244008	-122.040448	1
Perrysburg	Ohio	wo-f-fneavr-fubccr	10/20/14 20:48	41.52755	-83.645122	1
Naples	FL	zrerqnl-f-svar-qvavat	10/20/14 23:19	26.139218	-81.786001	1
Hudson	Ohio	ivin-orar-tbhezrg	10/21/14 19:40	41.242969	-81.440243	1
West Tisbury	MA	fgngr-ebnq	10/21/14 21:56	41.403816	-70.675139	1
Miami Beach	FL	obyvine-erfgnhenag	10/22/14 23:32	25.776524	-80.13352	1
Charlottesville	VA	sversyl-rnfg-znexrg-fgerrg	10/22/14 23:52	38.025724	-78.46711	1
Boulder Creek	California	obhyqre-perrx-oerjvat-pbzcnal	10/23/14 20:01	37.12326	-122.121336	1
Little Rock	AR	oyhr-pnabr-oerjvat-pb	10/23/14 20:15	34.745374	-92.26639	1
Winter Park	co	uvqrnjnl-cnex-oerjrel	10/23/14 22:11	39.918029	-105.784057	1
Klamath Falls	OR	irgrenaf-bs-sbervta-jnef-1383	10/23/14 23:05	42.223857	-121.782284	1
Brooklyn	NY	pryroevgl-frj-vaf-oebbxyla	10/24/14 14:47	40.669848	-73.908051	1
Glen Allen	VA	gur-jvar-ybsg	10/24/14 21:49	37.648484	-77.6023	1
Los Angeles	CA	erq-svfu-xvgpura	10/25/14 0:17	34.055406	-118.385389	1
Littleton	CO	gur-znabe-ubhfr	10/27/14 18:15	39.58981	-105.168497	1
Wyandotte	MI	wbrf-unzohetref	10/27/14 19:03	42.20249	-83.14914	1
