policy_id,adopted_year,state,state_name,long,lat,adoption_case,state_num
adc,1936,VT,Vermont,-72.5716,44.2627,1,45
adc,1936,WA,Washington,-122.9016,47.0449,1,4
adc,1936,WI,Wisconsin,-89.4007,43.0632,1,47
adc,1936,WV,West Virginia,-81.6354,38.3533,1,48
adc,1936,WY,Wyoming,-104.8165,41.1389,1,49
adc,1937,GA,Georgia,-84.3897,33.7545,1,26
adc,1937,KS,Kansas,-95.6815,39.0474,1,15
adc,1937,MN,Minnesota,-93.1027,44.9446,1,8
adc,1937,MO,Missouri,-92.1941,38.5698,1,23
adc,1937,MT,Montana,-112.0205,46.5911,1,14
adc,1937,NC,North Carolina,-78.6434,35.7797,1,9
adc,1937,ND,North Dakota,-100.7694,46.8084,1,27
adc,1937,NY,New York ,-73.7551,42.6517,1,2
adc,1937,OR,Oregon,-123.0272,44.937,1,3
adc,1937,RI,Rhode Island,-71.4087,41.827,1,38
adc,1937,SC,South Carolina,-81.0353,34.0007,1,39
adc,1937,TN,Tennessee,-86.7821,36.1589,1,41
adc,1938,FL,Florida,-84.2806,30.4382,1,12
adc,1938,VA,Virginia,-77.4339,37.5408,1,13
adc,1940,SD,South Dakota,-100.3177,44.3776,1,40
adc,1941,CT,Connecticut,-72.6732,41.7665,1,1
adc,1941,IL,Illinois,-89.6533,39.8018,1,6
adc,1941,MS,Mississippi,-90.178,32.3122,1,24
adc,1941,TX,Texas,-97.7452,30.2687,1,42
adc,1942,KY,Kentucky,-84.8715,38.1894,1,16
adc,1943,IA,Iowa,-93.6203,41.5888,1,33
adc,1955,NV,Nevada,-119.7519,39.1501,1,32
adcom,1925,FL,Florida,-84.2806,30.4382,1,12
adcom,1925,ND,North Dakota,-100.7694,46.8084,1,27
adcom,1927,ME,Massachusetts,-69.7323,44.3294,1,20
adcom,1927,WY,Wyoming,-104.8165,41.1389,1,49
adcom,1929,MI,Michigan,-84.5466,42.7336,1,21
adcom,1933,MN,Minnesota,-93.1027,44.9446,1,8
adcom,1933,VT,Vermont,-72.5716,44.2627,1,45
adcom,1934,VA,Virginia,-77.4339,37.5408,1,13
adcom,1935,CO,Colorado,-104.9881,39.7551,1,5
adcom,1935,NH,New Hampshire ,-71.5597,43.2314,1,29
adcom,1935,NM,New Mexico,-105.9381,35.6816,1,31
adcom,1935,NY,New York ,-73.7551,42.6517,1,2
adcom,1935,OR,Oregon,-123.0272,44.937,1,3
adcom,1936,KY,Kentucky,-84.8715,38.1894,1,16
adcom,1936,LA,Louisiana,-91.1882,30.4493,1,11
adcom,1936,MS,Mississippi,-90.178,32.3122,1,24
adcom,1936,MT,Montana,-112.0205,46.5911,1,14
