"policy_id","adopted_year","state_id"
"uccarticle8investmentsecurities1994",1996,"AL"
"uccarticle9amendments",1981,"AL"
"uccarticle9amendments2010",2014,"AL"
"uccarticle9securedtransactions1998",2001,"AL"
"ultrasound",2002,"AL"
"unclaimedpropertyact",2004,"AL"
"unclaimedpropertyact19521981",1972,"AL"
"unincorporatednonprofitassociationact19921996",1995,"AL"
"unionlimits",1994,"AL"
"unswornforeigndeclarationsact2008",2011,"AL"
"urbrenen",1949,"AL"
"utreg",1880,"AL"
"viatesting",1990,"AL"
"viccomp",1984,"AL"
"vicrtsamd",1994,"AL"
"victimnotif",1995,"AL"
"victimnotification",1995,"AL"
"victimrights",1994,"AL"
"voterid",2003,"AL"
"w_educ_mom_silentmandator",1998,"AL"
"w_environment_endangered_specie",2010,"AL"
"waiting",2002,"AL"
"welfagy",1919,"AL"
"witnessint",1977,"AL"
"witnessintimidation",1977,"AL"
"wk20via",1975,"AL"
"workcom",1920,"AL"
"zerotol",1996,"AL"
"zerotoleranceapis",1996,"AL"
"zerotolerancelaw",1996,"AL"
"aborparn",1989,"AR"
"aborpreroe",1969,"AR"
"abortion_consent_1992_201",2001,"AR"
"abortion_reform_prero",1969,"AR"
"absvot",1969,"AR"
"acctlic",1915,"AR"
"adawork",1953,"AR"
"adc",1936,"AR"
"adcom",1937,"AR"
"adoptionact19531969",1977,"AR"
"adultguardianshipandprotectiveproceedingsjurisdictionact",2011,"AR"
"agreementondetainers",1971,"AR"
"aidperm",1952,"AR"
"airpol",1960,"AR"
"alcbevcon",1935,"AR"
"alctreat",1955,"AR"
"amber",2001,"AR"
"anatomicalgift1968",1970,"AR"
"anatomicalgiftact1987",1989,"AR"
"anatomicalgiftact2006",2007,"AR"
"antibully",2003,"AR"
"antistalk",1993,"AR"
"anyid2",1999,"AR"
"anyphotoid2",2013,"AR"
"appointmentofcommissioners",1945,"AR"
"arbitrationact2000",2011,"AR"
"archlic",1941,"AR"
"arts",1966,"AR"
"athleteagentsact",2001,"AR"
"attendanceofoutofstatewitnesses",1935,"AR"
"ausbalsys",1891,"AR"
"autism",2011,"AR"
"autoreg",1911,"AR"
"bangag",1997,"AR"
"beaulic",1947,"AR"
"bldstds_yearadopted",2005,"AR"
"blind",1936,"AR"
"boehmke_snrpres",2001,"AR"
"boh",1913,"AR"
"bootcamp",1989,"AR"
"breastfeed",2007,"AR"
"budgstd",1913,"AR"
"buildingcode",1955,"AR"
"cappun",1973,"AR"
"ccb",1997,"AR"
"cctheft",1979,"AR"
"chartersch",1995,"AR"
"childabu",1965,"AR"
"childabuse",1965,"AR"
"childcustodyjurisdictionandenforcementact",1979,"AR"
"childlab",1914,"AR"
"childpornography",1983,"AR"
"childrest",1983,"AR"
"childseat",1983,"AR"
"chirolic",1915,"AR"
"cigtax",1924,"AR"
"citzon",1924,"AR"
"civildefenseanddisastercompact",1973,"AR"
"civinjaut",2001,"AR"
