policy_id,adopted_year,state,state_name,long,lat,adoption_case
childcustodyjurisdictionandenforcementact,1980,AL,Alabama,-86.2996,32.3754,1
childlab,1919,AL,Alabama,-86.2996,32.3754,1
childpornography,1989,AL,Alabama,-86.2996,32.3754,1
childrest,1982,AL,Alabama,-86.2996,32.3754,1
childseat,1982,AL,Alabama,-86.2996,32.3754,1
chirolic,1911,AL,Alabama,-86.2996,32.3754,1
cigtax,1927,AL,Alabama,-86.2996,32.3754,1
citzon,1923,AL,Alabama,-86.2996,32.3754,1
civildefenseanddisastercompact,1955,AL,Alabama,-86.2996,32.3754,1
colcanscr,2004,AL,Alabama,-86.2996,32.3754,1
collaborativelawact,2013,AL,Alabama,-86.2996,32.3754,1
collegesavings,2002,AL,Alabama,-86.2996,32.3754,1
compactforeducation,1969,AL,Alabama,-86.2996,32.3754,1
compactonmentalhealth,1975,AL,Alabama,-86.2996,32.3754,1
compactonplacementofchildren,1979,AL,Alabama,-86.2996,32.3754,1
compcrime,1985,AL,Alabama,-86.2996,32.3754,1
compsch,1915,AL,Alabama,-86.2996,32.3754,1
comsrv12,1983,AL,Alabama,-86.2996,32.3754,1
conacchwy,1956,AL,Alabama,-86.2996,32.3754,1
concealedcarry,1975,AL,Alabama,-86.2996,32.3754,1
condominiumact,1991,AL,Alabama,-86.2996,32.3754,1
conservationeasementact,1997,AL,Alabama,-86.2996,32.3754,1
consgsoil,1945,AL,Alabama,-86.2996,32.3754,1
controlledsubstancesact,1972,AL,Alabama,-86.2996,32.3754,1
corporlimits,1992,AL,Alabama,-86.2996,32.3754,1
cpban,1989,AL,Alabama,-86.2996,32.3754,1
creditcardtheft,1977,AL,Alabama,-86.2996,32.3754,1
crimeviccomp,1984,AL,Alabama,-86.2996,32.3754,1
deathpen,1976,AL,Alabama,-86.2996,32.3754,1
debtlim,1867,AL,Alabama,-86.2996,32.3754,1
declaratoryjudgmentsact,1935,AL,Alabama,-86.2996,32.3754,1
denlic,1881,AL,Alabama,-86.2996,32.3754,1
determinationofdeathact,2000,AL,Alabama,-86.2996,32.3754,1
dev_s1,1996,AL,Alabama,-86.2996,32.3754,1
dirprim,1904,AL,Alabama,-86.2996,32.3754,1
disclaimerofpropertyinterestsact1973,1981,AL,Alabama,-86.2996,32.3754,1
divisionofincomefortaxpurposes,1967,AL,Alabama,-86.2996,32.3754,1
driverlicensecompact,1966,AL,Alabama,-86.2996,32.3754,1
drugs_boehmke_statrapag,1977,AL,Alabama,-86.2996,32.3754,1
drugtest,1995,AL,Alabama,-86.2996,32.3754,1
dui,1995,AL,Alabama,-86.2996,32.3754,1
dui08,1995,AL,Alabama,-86.2996,32.3754,1
dwireform,1995,AL,Alabama,-86.2996,32.3754,1
education,1980,AL,Alabama,-86.2996,32.3754,1
education_teacher_cert_elementa,1955,AL,Alabama,-86.2996,32.3754,1
education_teacher_cert_h,1939,AL,Alabama,-86.2996,32.3754,1
edutv,1953,AL,Alabama,-86.2996,32.3754,1
electronictransactionsact,2001,AL,Alabama,-86.2996,32.3754,1
emergencymanagementassistancecompact,2000,AL,Alabama,-86.2996,32.3754,1
eminentdomaincode,1985,AL,Alabama,-86.2996,32.3754,1
enforcementofforeignjudgmentsact,1987,AL,Alabama,-86.2996,32.3754,1
englic,1935,AL,Alabama,-86.2996,32.3754,1
engonly,1990,AL,Alabama,-86.2996,32.3754,1
enterzone,1988,AL,Alabama,-86.2996,32.3754,1
environmentalcovenantsact,2007,AL,Alabama,-86.2996,32.3754,1
estatetaxapportionmentandprobatecode3_916,2007,AL,Alabama,-86.2996,32.3754,1
expsta,1888,AL,Alabama,-86.2996,32.3754,1
famlim,1994,AL,Alabama,-86.2996,32.3754,1
federallienregistrationact,1989,AL,Alabama,-86.2996,32.3754,1
fetaldispos,2003,AL,Alabama,-86.2996,32.3754,1
fetalhomic,2006,AL,Alabama,-86.2996,32.3754,1
fetalpain,2011,AL,Alabama,-86.2996,32.3754,1
filmtaxcredit,2009,AL,Alabama,-86.2996,32.3754,1
fish,1870,AL,Alabama,-86.2996,32.3754,1
foia,1923,AL,Alabama,-86.2996,32.3754,1
foreign_countrymoneyjudgmentsrecognitionact,2012,AL,Alabama,-86.2996,32.3754,1
forest,1907,AL,Alabama,-86.2996,32.3754,1
fraudulenttransferact1984,1989,AL,Alabama,-86.2996,32.3754,1
frontpass_seatbelt,1992,AL,Alabama,-86.2996,32.3754,1
fundslife,1988,AL,Alabama,-86.2996,32.3754,1
fundslifehea,1994,AL,Alabama,-86.2996,32.3754,1
furlough,1983,AL,Alabama,-86.2996,32.3754,1
furprog,1983,AL,Alabama,-86.2996,32.3754,1
gagrule,2002,AL,Alabama,-86.2996,32.3754,1
gastax,1923,AL,Alabama,-86.2996,32.3754,1
gaymarban,2008,AL,Alabama,-86.2996,32.3754,1
gayrights_ban_sodom,1962,AL,Alabama,-86.2996,32.3754,1
gdl,2002,AL,Alabama,-86.2996,32.3754,1
genderrights_nofault_divorc,1971,AL,Alabama,-86.2996,32.3754,1
grandvist,1984,AL,Alabama,-86.2996,32.3754,1
guardianshipandprotectiveproceedingsact1997,1987,AL,Alabama,-86.2996,32.3754,1
guncontrl_waitperiod_handgu,1937,AL,Alabama,-86.2996,32.3754,1
guncontrol_licenses_dealer,1936,AL,Alabama,-86.2996,32.3754,1
guncontrol_opencarr,1961,AL,Alabama,-86.2996,32.3754,1
hatecrimes,2001,AL,Alabama,-86.2996,32.3754,1
hazing,2001,AL,Alabama,-86.2996,32.3754,1
health,1990,AL,Alabama,-86.2996,32.3754,1
healthcarecompact,2013,AL,Alabama,-86.2996,32.3754,1
helmetlaw_17,2006,AL,Alabama,-86.2996,32.3754,1
helmetlaw_learn,2006,AL,Alabama,-86.2996,32.3754,1
helmetlaw_pass,2006,AL,Alabama,-86.2996,32.3754,1
hmomod1,1986,AL,Alabama,-86.2996,32.3754,1
hostliability,1998,AL,Alabama,-86.2996,32.3754,1
hsexit,1981,AL,Alabama,-86.2996,32.3754,1
hwyagen,1911,AL,Alabama,-86.2996,32.3754,1
ide,1997,AL,Alabama,-86.2996,32.3754,1
identitytheft,2001,AL,Alabama,-86.2996,32.3754,1
idtheft,2001,AL,Alabama,-86.2996,32.3754,1
imcontsub,1982,AL,Alabama,-86.2996,32.3754,1
imitcontsub,1982,AL,Alabama,-86.2996,32.3754,1
immigration_english_languag,1970,AL,Alabama,-86.2996,32.3754,1
inctax,1933,AL,Alabama,-86.2996,32.3754,1
indlimit,1994,AL,Alabama,-86.2996,32.3754,1
infconsent,1990,AL,Alabama,-86.2996,32.3754,1
ins_stateexch,2012,AL,Alabama,-86.2996,32.3754,1
insprivate,2012,AL,Alabama,-86.2996,32.3754,1
intbar,1923,AL,Alabama,-86.2996,32.3754,1
interstatecompactforadultoffendersupervision,2002,AL,Alabama,-86.2996,32.3754,1
interstatecompactforjuveniles,1965,AL,Alabama,-86.2996,32.3754,1
interstatecompactonadoptionandmedicalassistance,1991,AL,Alabama,-86.2996,32.3754,1
interstatecompactoneducationalopportunityformilitarychildren,2009,AL,Alabama,-86.2996,32.3754,1
interstatecompacttoconserveoilandgas,1945,AL,Alabama,-86.2996,32.3754,1
interstatecorrectionscompact,1985,AL,Alabama,-86.2996,32.3754,1
interstatedepositionsanddiscoveryact,2012,AL,Alabama,-86.2996,32.3754,1
interstateenforcementofdomesticviolenceprotectionordersact,2003,AL,Alabama,-86.2996,32.3754,1
interstatefamilysupportact19921996,1997,AL,Alabama,-86.2996,32.3754,1
interstatefamilysupportactamendments2008,2015,AL,Alabama,-86.2996,32.3754,1
interstateinsuranceproductregulationcompact,2011,AL,Alabama,-86.2996,32.3754,1
interstatelibrarycompact,1973,AL,Alabama,-86.2996,32.3754,1
interstatemedicallicensurecompact,2015,AL,Alabama,-86.2996,32.3754,1
jucoen,1953,AL,Alabama,-86.2996,32.3754,1
juvct,1911,AL,Alabama,-86.2996,32.3754,1
juvisup,1965,AL,Alabama,-86.2996,32.3754,1
kidhelmet,1995,AL,Alabama,-86.2996,32.3754,1
kinship,1999,AL,Alabama,-86.2996,32.3754,1
labor_age_discriminatio,1997,AL,Alabama,-86.2996,32.3754,1
labor_prevailing_wage_la,1941,AL,Alabama,-86.2996,32.3754,1
labor_right_to_wor,1953,AL,Alabama,-86.2996,32.3754,1
labor_state_retirement_syste,1945,AL,Alabama,-86.2996,32.3754,1
laborag,1935,AL,Alabama,-86.2996,32.3754,1
